# X(m) Y(m) ç¿ïWån ïWçÇ(m)
24415.474438177793 -70495.41028640243 10 3.529
24435.631340684133 -70249.56529141066 10 2.687
24438.50274656831 -70027.29090179925 10 1.674
24346.438619216962 -69822.28072507933 10 4.375
24702.791681709325 -69623.2018794138 10 5.697
24412.728056607466 -69443.90846727615 10 2.261
24415.61398123349 -69269.07334631242 10 2.256
24422.218579259395 -69096.70707499573 10 2.456
24384.538223191354 -68904.87763256048 10 3.104
24417.097911408608 -68684.8275943793 10 6.53
24358.239088659433 -68509.21708576505 10 5.8
24295.597950584277 -68303.0361015759 10 4.226
24245.023639811603 -68131.46533554833 10 5.256
24189.715302343502 -67977.1728025551 10 5.535
24063.997907075634 -67779.64469829317 10 7.599
23946.55746215355 -67672.56934551918 10 8.877
23830.496825963473 -67590.21679142692 10 8.802
23690.708792829173 -67512.51753949387 10 8.195
23554.935156830546 -67479.52491978262 10 7.883
23468.697690161633 -67457.9307938358 10 7.786
23368.226545962156 -67420.93473705398 10 7.351
23229.013510668374 -67400.14398037714 10 7.178
23010.36320282872 -67392.59313117179 10 7.815
22777.84001137228 -67427.62507131971 10 7.703
22579.874031641568 -67457.15672119659 10 7.892
22322.808822483992 -67460.14112563914 10 7.912
22062.29935591595 -67419.57703486453 10 8.01
21846.975105948597 -67249.1176244304 10 7.557
21712.375670863323 -66977.4349274883 10 6.74
21643.058696828564 -66741.23763129747 10 5.485
21588.446988013133 -66462.46615061186 10 4.567
21593.587212619226 -66355.19533096782 10 8.166
21621.554604680106 -66174.10954049278 10 8.438
21878.887512568836 -65667.17033083008 10 8.135
22066.45804030031 -65592.057803201 10 8.274
22229.603617340814 -65483.672591035014 10 8.769
22375.665052272412 -65382.69411174717 10 8.596
22528.95494844826 -65287.98316002986 10 8.745
22680.34186225372 -65149.90449872247 10 8.753
22756.02391909527 -65068.862562144066 10 8.817
22813.474004662938 -64969.29944272658 10 8.373
22849.362658622944 -64877.32156118046 10 8.481
22867.362415205727 -64837.679587546896 10 8.58
22868.081443364437 -64833.74000087842 10 8.665
22876.140445118122 -64743.730240167744 10 8.805
22865.950199756146 -64511.8312308195 10 8.901
22813.783386553 -64275.03580645173 10 8.999
22754.388206567502 -64082.69053013113 10 9.063
22677.619423230368 -63838.561931621116 10 9.45
22723.754863013728 -63581.04891954132 10 9.019
22810.897055189707 -63387.35643120165 10 9.741
22947.02334919684 -63183.94480244805 10 9.072
23100.012692654167 -63006.247211758346 10 9.095
23304.10565026096 -62822.325766469454 10 9.496
23421.78748372655 -62752.66269085229 10 8.986
23535.923910966892 -62651.73713748619 10 9.355
23575.55652765836 -62595.1118402773 10 9.285
23601.928596071823 -62548.96574263243 10 9.219
23595.384413946707 -62534.92240827827 10 9.522
23598.875778606114 -62510.81876784576 10 9.618
23598.706011855073 -62460.091265748844 10 9.927
23564.10725916001 -62297.14858569238 10 10.902
23493.86651673731 -62112.39766192657 10 10.393
23392.39951109102 -61893.68481566384 10 10.293
23288.125871020024 -61686.73752058953 10 10.522
23174.028716528454 -61458.04463289834 10 10.435
23099.492519458883 -61224.48667928469 10 8.58
23167.99646343879 -61037.04468609125 10 7.873
23282.388763984858 -60856.668714315296 10 8.06
23241.539090066428 -60672.15616222603 10 43.499
23147.245645371175 -60467.80763312106 10 39.182
23332.05018593971 -60211.10210449418 10 12.196
23409.308558776556 -60098.36842699625 10 6.128
23493.00133613611 -59902.43070967528 10 11.415
23631.756431975406 -59641.151645643906 10 14.174
23969.89323481074 -59573.216694685245 10 5.946
24127.5323327387 -59576.484886083505 10 11.659
24220.447850461413 -59554.599156802775 10 11.103
24249.083848314494 -59545.563262496864 10 11.632
24320.097402607167 -59512.80216020273 10 11.188
24403.04271501865 -59461.95333998999 10 11.349
24496.00402265055 -59377.10697143166 10 11.542
24580.005272818715 -59277.36080484368 10 11.513
24656.657300772422 -59106.16771193291 10 12.353
24739.08747203903 -58829.37229236622 10 12.035
24855.529065705683 -58559.162639982605 10 9.822
24993.342275080617 -58395.570697825795 10 10.323
25079.473904876908 -58299.01746047162 10 12.058
25170.26514442636 -58180.480418426545 10 12.122
25237.3922972934 -58062.553777265624 10 12.294
25289.368205925595 -57797.44664132848 10 12.974
25293.355734645676 -57760.3339649842 10 13.085
25290.844824298794 -57577.84465697003 10 13.121
25261.74786090019 -57413.36237839097 10 9.651
25252.543660283463 -57345.216937309786 10 12.802
25217.74227814017 -57261.452078943264 10 9.855
25162.286740725714 -57116.03551857199 10 10.703
25099.001343138065 -56920.08579751717 10 9.544
25050.88516927995 -56683.02911493839 10 14.08
24943.583158954192 -56517.166417335386 10 13.132
24810.893252779435 -56339.08735364545 10 13.613
24719.475161265906 -56164.01463906737 10 10.798
24594.236839165365 -55918.541632041764 10 12.599
24683.82043697616 -55569.491423618514 10 10.258
24720.240406403904 -55260.587389894165 10 15.458
24979.482338847916 -55202.7204756341 10 14.318
25192.06509036593 -55190.67225408926 10 14.522
25356.02914111867 -55133.8046193895 10 14.628
25464.566879344122 -55065.786248360026 10 14.733
25530.607546185925 -54975.492297862875 10 14.95
25556.573915011522 -54862.963842592646 10 14.942
25521.948753116572 -54728.33957961686 10 15.136
25433.57660581831 -54596.52834462956 10 15.328
25305.663636248435 -54481.44222033476 10 15.401
25156.20158679676 -54378.04825960812 10 15.455
24981.42082689907 -54274.51724470548 10 15.564
24820.3012936765 -54186.95283212364 10 15.648
24663.651378362265 -54095.88840666149 10 15.195
24483.010246760514 -53975.14954665526 10 15.474
24298.970366223377 -53841.03979847983 10 16.071
24128.978496014337 -53705.93831010404 10 15.686
23972.18462890271 -53577.42777441794 10 15.949
23830.19976569516 -53463.388940235964 10 16.405
23688.779823656136 -53356.60307184038 10 16.546
23530.986747678024 -53245.646656694036 10 16.625
23352.260694861496 -53126.115491384866 10 16.853
23214.055129602963 -53035.99668957597 10 16.808
23044.47259478006 -52935.27398839025 10 17.031
22879.31663569565 -52817.61642256747 10 17.102
22704.536474241908 -52730.10825072091 10 17.145
22557.234175110036 -52654.434644491295 10 17.428
22402.400580003577 -52557.26989742499 10 15.63
22212.9827238677 -52429.58769321631 10 14.971
22092.04061398286 -52375.98568728469 10 15.087
21831.439829155166 -52285.02414734434 10 13.81
21637.75624225721 -52189.13228376284 10 13.578
21476.112447650194 -52031.77418394507 10 14.672
21458.223662738706 -51789.21714123028 10 18.059
21588.89074326642 -51613.50166005536 10 17.168
21676.82038339108 -51413.2709005904 10 18.026
21803.007885948093 -51253.24747566697 10 17.301
21941.49025123667 -51109.5027175229 10 17.441
22095.41477890081 -50965.96561249335 10 17.639
22231.050088924254 -50829.32612162908 10 19.261
22387.92755918646 -50685.5930926174 10 19.809
22547.933752728863 -50571.967026794104 10 19.035
22701.737220768016 -50438.07357210677 10 19.243
22867.03749232914 -50331.40317929808 10 19.299
23018.925061370104 -50190.611645760066 10 23.306
23181.934252957148 -50020.841585089605 10 26.192
23312.080667053884 -49941.25208626225 10 16.367
23521.45030114996 -49793.33010266567 10 18.728
23698.630795739253 -49687.10927859898 10 18.931
23875.544026941818 -49613.182327479844 10 20.063
24027.53432953518 -49487.25984767153 10 20.684
24014.7591251657 -49395.02927883855 10 21.38
24216.92252218072 -49296.19460678238 10 15.931
24193.484357711906 -49176.78031246355 10 14.948
24124.03954005118 -49134.280823942616 10 16.933
23927.362362091004 -49110.636425372984 10 16.686
23743.449046256053 -49140.68087339753 10 16.752
23516.599432376526 -49203.141624458956 10 20.332
23336.30766061588 -49244.99057485746 10 19.622
23166.107695625808 -49329.673124216584 10 17.795
22960.95305786378 -49370.00368908815 10 18.063
22773.5274191283 -49375.18714410565 10 21.28
22555.11298170226 -49327.06407075172 10 19.19
22340.52928785965 -49209.02993102371 10 19.07
22333.538281887 -48923.897848539855 10 17.549
22426.39570483136 -48746.49653566968 10 17.554
22550.160834791623 -48571.31039377553 10 22.44
22681.920235994996 -48451.10240224572 10 22.648
22770.095687873072 -48264.90809866292 10 22.78
22819.767632996452 -48056.257812808675 10 22.915
22871.510569596736 -47832.886119507566 10 23.153
22781.117762716425 -47509.25588888678 10 17.686
22733.886525707225 -47299.68549915143 10 21.426
22949.780949435364 -47295.64382496082 10 19.422
23106.103367314627 -47179.05711758206 10 22.75
23400.187167316126 -47091.01166693865 10 19.052
23350.04851860924 -46895.443768009856 10 18.998
23434.374058108053 -46708.44023695991 10 19.156
23329.367795578393 -46579.06413419002 10 19.211
23275.377694038056 -46462.140157293805 10 19.306
23157.42591399253 -46286.55194178041 10 19.577
23021.396188157803 -46147.436965620196 10 18.641
22889.160938413177 -45964.365070229585 10 24.151
22769.446257824737 -45756.07069026867 10 23.594
22658.470136187778 -45572.27029512615 10 38.718
22716.701489050087 -45314.06171120552 10 24.644
22900.626146591134 -45160.647174253616 10 17.947
23002.800987914048 -45052.157371302404 10 25.776
23060.59318993335 -44821.03066249158 10 21.88
23189.217687467317 -44677.30933146648 10 18.895
23227.628878475523 -44464.9487050516 10 19.482
23354.23961667336 -44345.12683373115 10 19.338
23555.743764853083 -44231.43369429242 10 18.5
23726.014427662496 -44136.434814494205 10 19.04
23828.642981373014 -43998.14127965564 10 20.511
23790.849693516986 -43756.69804997071 10 21.257
23807.01168870409 -43659.632887041764 10 22.517
23703.01044341529 -43549.27534741211 10 23.632
23769.690975497524 -43322.24282046413 10 27.514
23643.147514398086 -43147.98720460487 10 42.297
23567.455558133628 -42920.27593378318 10 19.86
23535.03153520013 -42773.56782858484 10 20.194
23460.574585022125 -42560.450435021135 10 20.68
23486.389668565913 -42307.47279029926 10 21.109
23470.007716002663 -42033.927167985 10 22.52
23472.20475996006 -41882.34831315179 10 22.772
23478.182541770388 -41825.60436964543 10 22.841
23491.028250994917 -41699.155742220835 10 23.062
23484.975064087743 -41519.79533403906 10 22.931
23427.848581834136 -41337.44536275111 10 23.402
23435.88526802958 -41141.21117688103 10 22.253
23249.247291698375 -40953.89846472328 10 23.699
23395.041395406493 -40708.16509854659 10 27.097
23421.319274636484 -40459.9573384132 10 26.963
23572.15398347764 -40303.49096946363 10 27.298
23701.36484701412 -40125.22662792114 10 27.311
23819.15545726926 -39954.65570790593 10 31.537
