# パラメータによる座標・標高補正ソフトウェア PatchJGD HV Ver.1.1.0.0
# 入力ファイル名: input.txt
# 補正区分: 標高成分のみ
# パラメータファイル名: hyokorevBM_jgd2024_h.par
# 系番号: 10
# 世界測地系の緯度/経度      変動前の標高(入力値)  変動後の標高(計算値)
# X            Y             標高                  標高                  コメント
# m            m             m                     m
# 行末に「-9999.」がある行は、補正されなかった行です。
#-------------------------------------------------------------------------------
24415.4744 -70495.4103 3.5290 3.3175 
24435.6313 -70249.5653 2.6870 2.4754 
24438.5027 -70027.2909 1.6740 1.4623 
24346.4386 -69822.2807 4.3750 4.1633 
24702.7917 -69623.2019 5.6970 5.4851 
24412.7281 -69443.9085 2.2610 2.0494 
24415.6140 -69269.0733 2.2560 2.0445 
24422.2186 -69096.7071 2.4560 2.2446 
24384.5382 -68904.8776 3.1040 2.8928 
24417.0979 -68684.8276 6.5300 6.3188 
24358.2391 -68509.2171 5.8000 5.5889 
24295.5980 -68303.0361 4.2260 4.0149 
24245.0236 -68131.4653 5.2560 5.0448 
24189.7153 -67977.1728 5.5350 5.3238 
24063.9979 -67779.6447 7.5990 7.3878 
23946.5575 -67672.5693 8.8770 8.6657 
23830.4968 -67590.2168 8.8020 8.5906 
23690.7088 -67512.5175 8.1950 7.9835 
23554.9352 -67479.5249 7.8830 7.6715 
23468.6977 -67457.9308 7.7860 7.5745 
23368.2265 -67420.9347 7.3510 7.1394 
23229.0135 -67400.1440 7.1780 6.9663 
23010.3632 -67392.5931 7.8150 7.6032 
22777.8400 -67427.6251 7.7030 7.4912 
22579.8740 -67457.1567 7.8920 7.6801 
22322.8088 -67460.1411 7.9120 7.7000 
22062.2994 -67419.5770 8.0100 7.7979 
21846.9751 -67249.1176 7.5570 7.3447 
21712.3757 -66977.4349 6.7400 6.5275 
21643.0587 -66741.2376 5.4850 5.2723 
21588.4470 -66462.4662 4.5670 4.3544 
21593.5872 -66355.1953 8.1660 7.9535 
21621.5546 -66174.1095 8.4380 8.2256 
21878.8875 -65667.1703 8.1350 7.9226 
22066.4580 -65592.0578 8.2740 8.0614 
22229.6036 -65483.6726 8.7690 8.5560 
22375.6651 -65382.6941 8.5960 8.3827 
22528.9549 -65287.9832 8.7450 8.5314 
22680.3419 -65149.9045 8.7530 8.5390 
22756.0239 -65068.8626 8.8170 8.6027 
22813.4740 -64969.2994 8.3730 8.1585 
22849.3627 -64877.3216 8.4810 8.2663 
22867.3624 -64837.6796 8.5800 8.3652 
22868.0814 -64833.7400 8.6650 8.4502 
22876.1404 -64743.7302 8.8050 8.5900 
22865.9502 -64511.8312 8.9010 8.6856 
22813.7834 -64275.0358 8.9990 8.7831 
22754.3882 -64082.6905 9.0630 8.8467 
22677.6194 -63838.5619 9.4500 9.2331 
22723.7549 -63581.0489 9.0190 8.8017 
22810.8971 -63387.3564 9.7410 9.5237 
22947.0233 -63183.9448 9.0720 8.8550 
23100.0127 -63006.2472 9.0950 8.8783 
23304.1057 -62822.3258 9.4960 9.2796 
23421.7875 -62752.6627 8.9860 8.7697 
23535.9239 -62651.7371 9.3550 9.1389 
23575.5565 -62595.1118 9.2850 9.0690 
23601.9286 -62548.9657 9.2190 9.0030 
23595.3844 -62534.9224 9.5220 9.3060 
23598.8758 -62510.8188 9.6180 9.4020 
23598.7060 -62460.0913 9.9270 9.7111 
23564.1073 -62297.1486 10.9020 10.6861 
23493.8665 -62112.3977 10.3930 10.1772 
23392.3995 -61893.6848 10.2930 10.0773 
23288.1259 -61686.7375 10.5220 10.3064 
23174.0287 -61458.0446 10.4350 10.2197 
23099.4925 -61224.4867 8.5800 8.3650 
23167.9965 -61037.0447 7.8730 7.6581 
23282.3888 -60856.6687 8.0600 7.8454 
23241.5391 -60672.1562 43.4990 43.2846 
23147.2456 -60467.8076 39.1820 38.9677 
23332.0502 -60211.1021 12.1960 11.9822 
23409.3086 -60098.3684 6.1280 5.9142 
23493.0013 -59902.4307 11.4150 11.2012 
23631.7564 -59641.1516 14.1740 13.9601 
23969.8932 -59573.2167 5.9460 5.7320 
24127.5323 -59576.4849 11.6590 11.4449 
24220.4479 -59554.5992 11.1030 10.8888 
24249.0838 -59545.5633 11.6320 11.4178 
24320.0974 -59512.8022 11.1880 10.9738 
24403.0427 -59461.9533 11.3490 11.1347 
24496.0040 -59377.1070 11.5420 11.3277 
24580.0053 -59277.3608 11.5130 11.2986 
24656.6573 -59106.1677 12.3530 12.1385 
24739.0875 -58829.3723 12.0350 11.8202 
24855.5291 -58559.1626 9.8220 9.6069 
24993.3423 -58395.5707 10.3230 10.1077 
25079.4739 -58299.0175 12.0580 11.8425 
25170.2651 -58180.4804 12.1220 11.9063 
25237.3923 -58062.5538 12.2940 12.0780 
25289.3682 -57797.4466 12.9740 12.7576 
25293.3557 -57760.3340 13.0850 12.8685 
25290.8448 -57577.8447 13.1210 12.9042 
25261.7479 -57413.3624 9.6510 9.4339 
25252.5437 -57345.2169 12.8020 12.5848 
25217.7423 -57261.4521 9.8550 9.6377 
25162.2867 -57116.0355 10.7030 10.4855 
25099.0013 -56920.0858 9.5440 9.3268 
25050.8852 -56683.0291 14.0800 13.8631 
24943.5832 -56517.1664 13.1320 12.9154 
24810.8933 -56339.0874 13.6130 13.3967 
24719.4752 -56164.0146 10.7980 10.5820 
24594.2368 -55918.5416 12.5990 12.3832 
24683.8204 -55569.4914 10.2580 10.0424 
24720.2404 -55260.5874 15.4580 15.2426 
24979.4823 -55202.7205 14.3180 14.1024 
25192.0651 -55190.6723 14.5220 14.3063 
25356.0291 -55133.8046 14.6280 14.4121 
25464.5669 -55065.7862 14.7330 14.5170 
25530.6075 -54975.4923 14.9500 14.7339 
25556.5739 -54862.9638 14.9420 14.7258 
25521.9488 -54728.3396 15.1360 14.9196 
25433.5766 -54596.5283 15.3280 15.1115 
25305.6636 -54481.4422 15.4010 15.1845 
25156.2016 -54378.0483 15.4550 15.2385 
24981.4208 -54274.5172 15.5640 15.3473 
24820.3013 -54186.9528 15.6480 15.4311 
24663.6514 -54095.8884 15.1950 14.9780 
24483.0102 -53975.1495 15.4740 15.2567 
24298.9704 -53841.0398 16.0710 15.8535 
24128.9785 -53705.9383 15.6860 15.4682 
23972.1846 -53577.4278 15.9490 15.7310 
23830.1998 -53463.3889 16.4050 16.1869 
23688.7798 -53356.6031 16.5460 16.3278 
23530.9867 -53245.6467 16.6250 16.4067 
23352.2607 -53126.1155 16.8530 16.6347 
23214.0551 -53035.9967 16.8080 16.5898 
23044.4726 -52935.2740 17.0310 16.8129 
22879.3166 -52817.6164 17.1020 16.8840 
22704.5365 -52730.1083 17.1450 16.9272 
22557.2342 -52654.4346 17.4280 17.2103 
22402.4006 -52557.2699 15.6300 15.4125 
22212.9827 -52429.5877 14.9710 14.7536 
22092.0406 -52375.9857 15.0870 14.8696 
21831.4398 -52285.0241 13.8100 13.5927 
21637.7562 -52189.1323 13.5780 13.3607 
21476.1124 -52031.7742 14.6720 14.4547 
21458.2237 -51789.2171 18.0590 17.8415 
21588.8907 -51613.5017 17.1680 16.9500 
21676.8204 -51413.2709 18.0260 17.8075 
21803.0079 -51253.2475 17.3010 17.0820 
21941.4903 -51109.5027 17.4410 17.2215 
22095.4148 -50965.9656 17.6390 17.4190 
